iso_codes,n_feat,cwals_old,cwals_new,id,genus,name
emp,8,1,1,emb,Choco,Emberá (Northern)
enf,7,0.8571428571428571,0.8571428571428571,NA,NA,NA
eng,28,0.32925170068027204,0.2789115646258503,eng,Germanic,English
enh,7,0.8571428571428571,0.8571428571428571,NA,NA,NA
enn,12,0.29166666666666663,0.25,egn,Edoid,Engenni
eno,7,0.7142857142857143,0.7142857142857143,eno,Enggano,Enggano
enx,4,1,1,lng,Mascoian,Lengua
erg,9,0.6888888888888889,0.6666666666666666,err,Oceanic,Erromangan
erk,5,0.6,0.6,erk,Oceanic,Efate (South)
ese,8,0.125,0.125,ese,Tacanan,Ese Ejja
esq,2,1,1,ess,NA,Esselen
ess,2,1,1,ysl,Eskimo,Yupik (St. Lawrence Island)
est,13,0.6153846153846154,0.6153846153846154,est,Finnic,Estonian
esu,22,0.8045454545454546,0.79004329004329,ych,Eskimo,Yup'ik (Chevak)
